,kingdom,phylum,class,order,family,genus
1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Abortiporus
2,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium
3,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthofungus
4,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Acantholichen
5,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysium
6,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,Actiniceps
7,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Afroboletus
8,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Afrocantharellus
9,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus
10,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus
11,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe
12,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellopsis
13,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus
14,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Alboleptonia
15,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Albomagister
16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Albomagister
17,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurobotrys
18,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus
19,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Alloclavaria
20,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Allopsalliota
21,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Alnicola
22,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Alpova
23,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita
24,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Amauroderma
25,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Amaurodon
26,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Amphinema
27,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Ampulloclitocybe
28,Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Amylocorticiellum
29,Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Amylocorticium
30,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Amylocystis
31,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Amyloflagellula
32,Fungi,Basidiomycota,Agaricomycetes,Russulales,Amylostereaceae,Amylostereum
33,Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Amyloxenasma
34,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Mesophelliaceae,Andebbia
35,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Tetrapyrgos
36,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Anomoloma
37,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Anomoporia
38,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Anthracophyllum
