"","genus","family","order","class"
"1","Mertensophryne","Bufonidae","Anura","Amphibia"
"2","Poyntonophrynus","Bufonidae","Anura","Amphibia"
"3","Capensibufo","Bufonidae","Anura","Amphibia"
"4","Rhinella","Bufonidae","Anura","Amphibia"
"5","Incilius","Bufonidae","Anura","Amphibia"
"6","Anaxyrus","Bufonidae","Anura","Amphibia"
"7","Atelopus","Bufonidae","Anura","Amphibia"
"8","Metaphryniscus","Bufonidae","Anura","Amphibia"
"9","Nannophryne","Bufonidae","Anura","Amphibia"
"10","Dendrophryniscus","Bufonidae","Anura","Amphibia"
"11","Amazophrynella","Bufonidae","Anura","Amphibia"
"12","Rhaebo","Bufonidae","Anura","Amphibia"
"13","Oreophrynella","Bufonidae","Anura","Amphibia"
"14","Amietophrynus","Bufonidae","Anura","Amphibia"
"15","Vandijkophrynus","Bufonidae","Anura","Amphibia"
"16","Truebella","Bufonidae","Anura","Amphibia"
"17","Osornophryne","Bufonidae","Anura","Amphibia"
"18","Altiphrynoides","Bufonidae","Anura","Amphibia"
"19","Laurentophryne","Bufonidae","Anura","Amphibia"
"20","Bufo","Bufonidae","Anura","Amphibia"
"21","Sabahphrynus","Bufonidae","Anura","Amphibia"
"22","Strauchbufo","Bufonidae","Anura","Amphibia"
"23","Werneria","Bufonidae","Anura","Amphibia"
"24","Wolterstorffina","Bufonidae","Anura","Amphibia"
"25","Didynamipus","Bufonidae","Anura","Amphibia"
"26","Nimbaphrynoides","Bufonidae","Anura","Amphibia"
"27","Nectophryne","Bufonidae","Anura","Amphibia"
"28","Leptophryne","Bufonidae","Anura","Amphibia"
"29","Epidalea","Bufonidae","Anura","Amphibia"
"30","Pedostibes","Bufonidae","Anura","Amphibia"
"31","Ansonia","Bufonidae","Anura","Amphibia"
"32","Pelophryne","Bufonidae","Anura","Amphibia"
"33","Ghatophryne","Bufonidae","Anura","Amphibia"
"34","Barbarophryne","Bufonidae","Anura","Amphibia"
"35","Ingerophrynus","Bufonidae","Anura","Amphibia"
"36","Phrynoidis","Bufonidae","Anura","Amphibia"
"37","Duttaphrynus","Bufonidae","Anura","Amphibia"
"38","Xanthophryne","Bufonidae","Anura","Amphibia"
"39","Adenomus","Bufonidae","Anura","Amphibia"
"40","Nectophrynoides","Bufonidae","Anura","Amphibia"
"41","Churamiti","Bufonidae","Anura","Amphibia"
"42","Schismaderma","Bufonidae","Anura","Amphibia"
"43","Bufotes","Bufonidae","Anura","Amphibia"
"44","Andinophryne","Bufonidae","Anura","Amphibia"
"45","Bufoides","Bufonidae","Anura","Amphibia"
"46","Parapelophryne","Bufonidae","Anura","Amphibia"
"47","Peltophryne","Bufonidae","Anura","Amphibia"
"48","Pseudobufo","Bufonidae","Anura","Amphibia"
"49","Frostius","Bufonidae","Anura","Amphibia"
"50","Melanophryniscus","Alsodidae","Anura","Amphibia"
