"","genus","family","order","class"
"1","Taoniscus","Tinamidae","Tinamiformes","Aves"
"2","Eudromia","Tinamidae","Tinamiformes","Aves"
"3","Tinamotis","Tinamidae","Tinamiformes","Aves"
"4","Nothura","Tinamidae","Tinamiformes","Aves"
"5","Rhynchotus","Tinamidae","Tinamiformes","Aves"
"6","Nothoprocta","Tinamidae","Tinamiformes","Aves"
"7","Crypturellus","Tinamidae","Tinamiformes","Aves"
"8","Nothocercus","Tinamidae","Tinamiformes","Aves"
"9","Tinamus","Tinamidae","Tinamiformes","Aves"
"10","Struthio","Struthionidae","Struthioniformes","Aves"
"11","Rhea","Rheidae","Rheiformes","Aves"
"12","Apteryx","Apterygidae","Apterygiformes","Aves"
"13","Dromaius","Dromaiidae","Casuariiformes","Aves"
"14","Casuarius","Casuariidae","Casuariiformes","Aves"
"15","Dendrortyx","Odontophoridae","Galliformes","Aves"
"16","Philortyx","Odontophoridae","Galliformes","Aves"
"17","Callipepla","Odontophoridae","Galliformes","Aves"
"18","Colinus","Odontophoridae","Galliformes","Aves"
"19","Oreortyx","Odontophoridae","Galliformes","Aves"
"20","Cyrtonyx","Odontophoridae","Galliformes","Aves"
"21","Rhynchortyx","Odontophoridae","Galliformes","Aves"
"22","Dactylortyx","Odontophoridae","Galliformes","Aves"
"23","Odontophorus","Odontophoridae","Galliformes","Aves"
"24","Ptilopachus","Phasianidae","Galliformes","Aves"
"25","Ithaginis","Phasianidae","Galliformes","Aves"
"26","Meleagris","Phasianidae","Galliformes","Aves"
"27","Lagopus","Phasianidae","Galliformes","Aves"
"28","Centrocercus","Phasianidae","Galliformes","Aves"
"29","Dendragapus","Phasianidae","Galliformes","Aves"
"30","Tympanuchus","Phasianidae","Galliformes","Aves"
"31","Tetrao","Phasianidae","Galliformes","Aves"
"32","Lerwa","Phasianidae","Galliformes","Aves"
"33","Bonasa","Phasianidae","Galliformes","Aves"
"34","Rhizothera","Phasianidae","Galliformes","Aves"
"35","Pucrasia","Phasianidae","Galliformes","Aves"
"36","Syrmaticus","Phasianidae","Galliformes","Aves"
