,genus,family,order,class
1,Callorhinchus,Callorhinchidae,Chimaeriformes,Chondrichthyes
2,Neoharriotta,Rhinochimaeridae,Chimaeriformes,Chondrichthyes
3,Harriotta,Rhinochimaeridae,Chimaeriformes,Chondrichthyes
4,Rhinochimaera,Rhinochimaeridae,Chimaeriformes,Chondrichthyes
5,Chimaera,Chimaeridae,Chimaeriformes,Chondrichthyes
6,Hydrolagus,Chimaeridae,Chimaeriformes,Chondrichthyes
7,Cruriraja,Rajidae,Rajiformes,Chondrichthyes
8,Rioraja,Arhynchobatidae,Rajiformes,Chondrichthyes
9,Atlantoraja,Arhynchobatidae,Rajiformes,Chondrichthyes
10,Arhynchobatis,Arhynchobatidae,Rajiformes,Chondrichthyes
11,Psammobatis,Arhynchobatidae,Rajiformes,Chondrichthyes
12,Sympterygia,Arhynchobatidae,Rajiformes,Chondrichthyes
13,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes
14,Rhinoraja,Arhynchobatidae,Rajiformes,Chondrichthyes
15,Irolita,Arhynchobatidae,Rajiformes,Chondrichthyes
16,Pseudoraja,Arhynchobatidae,Rajiformes,Chondrichthyes
17,Brochiraja,Rajidae,Rajiformes,Chondrichthyes
18,Notoraja,Arhynchobatidae,Rajiformes,Chondrichthyes
19,Insentiraja,Arhynchobatidae,Rajiformes,Chondrichthyes
20,Pavoraja,Arhynchobatidae,Rajiformes,Chondrichthyes
21,Anacanthobatis,Anacanthobatidae,Rajiformes,Chondrichthyes
22,Sinobatis,Anacanthobatidae,Rajiformes,Chondrichthyes
23,Okamejei,Rajidae,Rajiformes,Chondrichthyes
24,Raja,Rajidae,Rajiformes,Chondrichthyes
25,Rostroraja,Rajidae,Rajiformes,Chondrichthyes
26,Leucoraja,Rajidae,Rajiformes,Chondrichthyes
27,Amblyraja,Rajidae,Rajiformes,Chondrichthyes
28,Rajella,Rajidae,Rajiformes,Chondrichthyes
29,Breviraja,Rajidae,Rajiformes,Chondrichthyes
30,Fenestraja,Rajidae,Rajiformes,Chondrichthyes
31,Neoraja,Rajidae,Rajiformes,Chondrichthyes
32,Malacoraja,Rajidae,Rajiformes,Chondrichthyes
33,Gurgesiella,Rajidae,Rajiformes,Chondrichthyes
34,Dipturus,Rajidae,Rajiformes,Chondrichthyes
35,Spiniraja,Rajidae,Rajiformes,Chondrichthyes
36,Dentiraja,Rajidae,Rajiformes,Chondrichthyes
37,Zearaja,Rajidae,Rajiformes,Chondrichthyes
38,Beringraja,Rajidae,Rajiformes,Chondrichthyes
39,Hongeo,Rajidae,Rajiformes,Chondrichthyes
40,Dactylobatus,Rajidae,Rajiformes,Chondrichthyes
41,Platyrhinoidis,Platyrhinidae,Myliobatiformes,Chondrichthyes
42,Platyrhina,Platyrhinidae,Myliobatiformes,Chondrichthyes
43,Hypnos,Hypnidae,Torpediniformes,Chondrichthyes
44,Narcine,Narcinidae,Torpediniformes,Chondrichthyes
45,Benthobatis,Narcinidae,Torpediniformes,Chondrichthyes
46,Torpedo,Torpedinidae,Torpediniformes,Chondrichthyes
47,Diplobatis,Narcinidae,Torpediniformes,Chondrichthyes
48,Discopyge,Narcinidae,Torpediniformes,Chondrichthyes
49,Crassinarke,Narkidae,Torpediniformes,Chondrichthyes
50,Temera,Narkidae,Torpediniformes,Chondrichthyes
51,Typhlonarke,Narkidae,Torpediniformes,Chondrichthyes
52,Narke,Narkidae,Torpediniformes,Chondrichthyes
53,Heteronarce,Narkidae,Torpediniformes,Chondrichthyes
54,Electrolux,Narkidae,Torpediniformes,Chondrichthyes
55,Trygonorrhina,Rhinobatidae,Pristiformes,Chondrichthyes
56,Zapteryx,Rhinobatidae,Pristiformes,Chondrichthyes
57,Aptychotrema,Rhinobatidae,Pristiformes,Chondrichthyes
58,Rhina,Rhinidae,Pristiformes,Chondrichthyes
59,Rhynchobatus,Rhynchobatidae,Pristiformes,Chondrichthyes
60,Glaucostegus,Rhinobatidae,Pristiformes,Chondrichthyes
61,Anoxypristis,Pristidae,Pristiformes,Chondrichthyes
62,Pristis,Pristidae,Pristiformes,Chondrichthyes
63,Rhinobatos,Rhinobatidae,Pristiformes,Chondrichthyes
64,Acroteriobatus,Rhinobatidae,Pristiformes,Chondrichthyes
65,Zanobatus,Zanobatidae,Pristiformes,Chondrichthyes
66,Hexatrygon,Hexatrygonidae,Myliobatiformes,Chondrichthyes
67,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes
68,Pteromylaeus,Myliobatidae,Myliobatiformes,Chondrichthyes
69,Aetomylaeus,Myliobatidae,Myliobatiformes,Chondrichthyes
70,Myliobatis,Myliobatidae,Myliobatiformes,Chondrichthyes
71,Rhinoptera,Myliobatidae,Myliobatiformes,Chondrichthyes
72,Mobula,Myliobatidae,Myliobatiformes,Chondrichthyes
73,Manta,Myliobatidae,Myliobatiformes,Chondrichthyes
74,Gymnura,Gymnuridae,Myliobatiformes,Chondrichthyes
75,Plesiobatis,Plesiobatidae,Myliobatiformes,Chondrichthyes
76,Trygonoptera,Urolophidae,Myliobatiformes,Chondrichthyes
77,Urolophus,Urolophidae,Myliobatiformes,Chondrichthyes
78,Urobatis,Urotrygonidae,Myliobatiformes,Chondrichthyes
79,Urotrygon,Urotrygonidae,Myliobatiformes,Chondrichthyes
80,Himantura,Dasyatidae,Myliobatiformes,Chondrichthyes
81,Paratrygon,Potamotrygonidae,Myliobatiformes,Chondrichthyes
82,Heliotrygon,Potamotrygonidae,Myliobatiformes,Chondrichthyes
83,Potamotrygon,Potamotrygonidae,Myliobatiformes,Chondrichthyes
84,Plesiotrygon,Potamotrygonidae,Myliobatiformes,Chondrichthyes
85,Makararaja,Dasyatidae,Myliobatiformes,Chondrichthyes
86,Pastinachus,Dasyatidae,Myliobatiformes,Chondrichthyes
87,Taeniura,Potamotrygonidae,Myliobatiformes,Chondrichthyes
88,Neotrygon,Dasyatidae,Myliobatiformes,Chondrichthyes
89,Dasyatis,Dasyatidae,Myliobatiformes,Chondrichthyes
90,Pteroplatytrygon,Dasyatidae,Myliobatiformes,Chondrichthyes
91,Taeniurops,Potamotrygonidae,Myliobatiformes,Chondrichthyes
92,Urogymnus,Dasyatidae,Myliobatiformes,Chondrichthyes
93,Chlamydoselachus,Chlamydoselachidae,Hexanchiformes,Chondrichthyes
94,Notorynchus,Hexanchidae,Hexanchiformes,Chondrichthyes
95,Hexanchus,Hexanchidae,Hexanchiformes,Chondrichthyes
96,Heptranchias,Hexanchidae,Hexanchiformes,Chondrichthyes
97,Squatina,Squatinidae,Squatiniformes,Chondrichthyes
98,Echinorhinus,Echinorhinidae,Echinorhiniformes,Chondrichthyes
99,Pliotrema,Pristiophoridae,Pristiophoridae,Chondrichthyes
100,Pristiophorus,Pristiophoridae,Pristiophoridae,Chondrichthyes
101,Deania,Centrophoridae,Squaliformes,Chondrichthyes
102,Centrophorus,Centrophoridae,Squaliformes,Chondrichthyes
103,Somniosus,Somniosidae,Squaliformes,Chondrichthyes
104,Zameus,Somniosidae,Squaliformes,Chondrichthyes
105,Centroselachus,Somniosidae,Squaliformes,Chondrichthyes
106,Centroscymnus,Somniosidae,Squaliformes,Chondrichthyes
107,Scymnodon,Somniosidae,Squaliformes,Chondrichthyes
108,Oxynotus,Oxynotidae,Squaliformes,Chondrichthyes
109,Proscymnodon,Somniosidae,Squaliformes,Chondrichthyes
110,Scymnodalatias,Somniosidae,Squaliformes,Chondrichthyes
111,Isistius,Dalatiidae,Squaliformes,Chondrichthyes
