,genus,family,order,class
1,Abrodictyum,Hymenophyllaceae,Hymenophyllales,Polypodiopsida
2,Acrophorus,Dryopteridaceae,Polypodiales,Polypodiopsida
3,Acrosorus,Polypodiaceae,Polypodiales,Polypodiopsida
4,Acrostichum,Pteridaceae,Polypodiales,Polypodiopsida
5,Actiniopteris,Pteridaceae,Polypodiales,Polypodiopsida
6,Actinostachys,Schizaeaceae,Schizaeales,Polypodiopsida
7,Acystopteris,Cystopteridaceae,Polypodiales,Polypodiopsida
8,Adenophorus,Polypodiaceae,Polypodiales,Polypodiopsida
9,Adiantopsis,Pteridaceae,Polypodiales,Polypodiopsida
10,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida
11,Afropteris,Pteridaceae,Polypodiales,Polypodiopsida
12,Aglaomorpha,Polypodiaceae,Polypodiales,Polypodiopsida
13,Alansmia,Polypodiaceae,Polypodiales,Polypodiopsida
14,Aleuritopteris,Pteridaceae,Polypodiales,Polypodiopsida
15,Alsophila,Cyatheaceae,Cyatheales,Polypodiopsida
16,Amauropelta,Thelypteridaceae,Polypodiales,Polypodiopsida
17,Ampelopteris,Thelypteridaceae,Polypodiales,Polypodiopsida
18,Ananthacorus,Pteridaceae,Polypodiales,Polypodiopsida
19,Anemia,Anemiaceae,Schizaeales,Polypodiopsida
20,Anetium,Pteridaceae,Polypodiales,Polypodiopsida
21,Angiopteris,Marattiaceae,Marattiales,Polypodiopsida
22,Anogramma,Pteridaceae,Polypodiales,Polypodiopsida
23,Antrophyum,Pteridaceae,Polypodiales,Polypodiopsida
24,Arachniodes,Dryopteridaceae,Polypodiales,Polypodiopsida
25,Araiostegiella,Davalliaceae,Polypodiales,Polypodiopsida
26,Archangiopteris,Marattiaceae,Marattiales,Polypodiopsida
27,Argyrochosma,Pteridaceae,Polypodiales,Polypodiopsida
28,Arthrobotrya,Lomariopsidaceae,Polypodiales,Polypodiopsida
29,Arthromeris,Polypodiaceae,Polypodiales,Polypodiopsida
30,Arthropteris,Tectariaceae,Polypodiales,Polypodiopsida
31,Ascogrammitis,Polypodiaceae,Polypodiales,Polypodiopsida
32,Aspidotis,Pteridaceae,Polypodiales,Polypodiopsida
33,Asplenium,Aspleniaceae,Polypodiales,Polypodiopsida
34,Astrolepis,Pteridaceae,Polypodiales,Polypodiopsida
35,Ataxipteris,Dryopteridaceae,Polypodiales,Polypodiopsida
36,Athyriopsis,Athyriaceae,Polypodiales,Polypodiopsida
37,Athyrium,Athyriaceae,Polypodiales,Polypodiopsida
38,Austrogramme,Pteridaceae,Polypodiales,Polypodiopsida
39,Azolla,Azollaceae,Salviniales,Polypodiopsida
40,Blechnum,Blechnaceae,Polypodiales,Polypodiopsida
41,Blotiella,Dennstaedtiaceae,Polypodiales,Polypodiopsida
42,Bolbitis,Dryopteridaceae,Polypodiales,Polypodiopsida
