"","genus","family","order","class"
"1","Gambusia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"2","Heterophallus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"3","Belonesox","Poeciliidae","Cyprinodontiformes","Actinopteri"
"4","Xiphophorus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"5","Pseudoxiphophorus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"6","Priapella","Poeciliidae","Cyprinodontiformes","Actinopteri"
"7","Scolichthys","Poeciliidae","Cyprinodontiformes","Actinopteri"
"8","Carlhubbsia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"9","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Actinopteri"
"10","Neoheterandria","Poeciliidae","Cyprinodontiformes","Actinopteri"
"11","Priapichthys","Poeciliidae","Cyprinodontiformes","Actinopteri"
"12","Brachyrhaphis","Poeciliidae","Cyprinodontiformes","Actinopteri"
"13","Xenophallus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"14","Phallichthys","Poeciliidae","Cyprinodontiformes","Actinopteri"
"15","Alfaro","Poeciliidae","Cyprinodontiformes","Actinopteri"
"16","Heterandria","Poeciliidae","Cyprinodontiformes","Actinopteri"
"17","Pseudopoecilia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"18","Girardinus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"19","Quintana","Poeciliidae","Cyprinodontiformes","Actinopteri"
"20","Limia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"21","Pamphorichthys","Poeciliidae","Cyprinodontiformes","Actinopteri"
"22","Poecilia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"23","Micropoecilia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"24","Cnesterodon","Poeciliidae","Cyprinodontiformes","Actinopteri"
"25","Phalloptychus","Poeciliidae","Cyprinodontiformes","Actinopteri"
"26","Xenodexia","Poeciliidae","Cyprinodontiformes","Actinopteri"
"27","Jenynsia","Anablepidae","Cyprinodontiformes","Actinopteri"
"28","Anableps","Anablepidae","Cyprinodontiformes","Actinopteri"
"29","Oxyzygonectes","Anablepidae","Cyprinodontiformes","Actinopteri"
"30","Orestias","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"31","Cyprinodon","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"32","Megupsilon","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"33","Jordanella","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"34","Cualac","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"35","Floridichthys","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"36","Garmanella","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"37","Fundulus","Fundulidae","Cyprinodontiformes","Actinopteri"
"38","Adinia","Fundulidae","Cyprinodontiformes","Actinopteri"
"39","Lucania","Fundulidae","Cyprinodontiformes","Actinopteri"
"40","Allotoca","Goodeidae","Cyprinodontiformes","Actinopteri"
"41","Skiffia","Goodeidae","Cyprinodontiformes","Actinopteri"
"42","Hubbsina","Goodeidae","Cyprinodontiformes","Actinopteri"
"43","Girardinichthys","Goodeidae","Cyprinodontiformes","Actinopteri"
"44","Ataeniobius","Goodeidae","Cyprinodontiformes","Actinopteri"
"45","Chapalichthys","Goodeidae","Cyprinodontiformes","Actinopteri"
"46","Xenotoca","Goodeidae","Cyprinodontiformes","Actinopteri"
"47","Alloophorus","Goodeidae","Cyprinodontiformes","Actinopteri"
"48","Zoogoneticus","Goodeidae","Cyprinodontiformes","Actinopteri"
"49","Xenoophorus","Goodeidae","Cyprinodontiformes","Actinopteri"
"50","Goodea","Goodeidae","Cyprinodontiformes","Actinopteri"
"51","Allodontichthys","Goodeidae","Cyprinodontiformes","Actinopteri"
"52","Xenotaenia","Goodeidae","Cyprinodontiformes","Actinopteri"
"53","Ilyodon","Goodeidae","Cyprinodontiformes","Actinopteri"
"54","Ameca","Goodeidae","Cyprinodontiformes","Actinopteri"
"55","Characodon","Goodeidae","Cyprinodontiformes","Actinopteri"
"56","Empetrichthys","Goodeidae","Cyprinodontiformes","Actinopteri"
"57","Crenichthys","Goodeidae","Cyprinodontiformes","Actinopteri"
"58","Profundulus","Profundulidae","Cyprinodontiformes","Actinopteri"
"59","Aphanius","Cyprinodontidae","Cyprinodontiformes","Actinopteri"
"60","Valencia","Valenciidae","Cyprinodontiformes","Actinopteri"
"61","Austrofundulus",NA,"Cyprinodontiformes","Actinopteri"
"62","Rachovia",NA,"Cyprinodontiformes","Actinopteri"
"63","Pterolebias",NA,"Cyprinodontiformes","Actinopteri"
"64","Gnatholebias",NA,"Cyprinodontiformes","Actinopteri"
"65","Llanolebias",NA,"Cyprinodontiformes","Actinopteri"
"66","Micromoema",NA,"Cyprinodontiformes","Actinopteri"
"67","Terranatos",NA,"Cyprinodontiformes","Actinopteri"
"68","Renova",NA,"Cyprinodontiformes","Actinopteri"
"69","Trigonectes",NA,"Cyprinodontiformes","Actinopteri"
"70","Neofundulus",NA,"Cyprinodontiformes","Actinopteri"
"71","Moema",NA,"Cyprinodontiformes","Actinopteri"
"72","Aphyolebias",NA,"Cyprinodontiformes","Actinopteri"
"73","Anablepsoides",NA,"Cyprinodontiformes","Actinopteri"
"74","Melanorivulus",NA,"Cyprinodontiformes","Actinopteri"
"75","Cynodonichthys",NA,"Cyprinodontiformes","Actinopteri"
"76","Maratecoara",NA,"Cyprinodontiformes","Actinopteri"
"77","Pituna",NA,"Cyprinodontiformes","Actinopteri"
"78","Papiliolebias",NA,"Cyprinodontiformes","Actinopteri"
