,genus,family,order,class
1,Zaglossus,Tachyglossidae,Monotremata,Mammalia
2,Tachyglossus,Tachyglossidae,Monotremata,Mammalia
3,Ornithorhynchus,Ornithorhynchidae,Monotremata,Mammalia
4,Solenodon,Solenodontidae,Eulipotyphla,Mammalia
5,Uropsilus,Talpidae,Eulipotyphla,Mammalia
6,Neurotrichus,Talpidae,Eulipotyphla,Mammalia
7,Galemys,Talpidae,Eulipotyphla,Mammalia
8,Desmana,Talpidae,Eulipotyphla,Mammalia
9,Scaptonyx,Talpidae,Eulipotyphla,Mammalia
10,Urotrichus,Talpidae,Eulipotyphla,Mammalia
11,Dymecodon,Talpidae,Eulipotyphla,Mammalia
12,Talpa,Talpidae,Eulipotyphla,Mammalia
13,Euroscaptor,Talpidae,Eulipotyphla,Mammalia
14,Parascaptor,Talpidae,Eulipotyphla,Mammalia
15,Scaptochirus,Talpidae,Eulipotyphla,Mammalia
16,Mogera,Talpidae,Eulipotyphla,Mammalia
17,Condylura,Talpidae,Eulipotyphla,Mammalia
18,Scapanulus,Talpidae,Eulipotyphla,Mammalia
19,Scalopus,Talpidae,Eulipotyphla,Mammalia
20,Scapanus,Talpidae,Eulipotyphla,Mammalia
21,Parascalops,Talpidae,Eulipotyphla,Mammalia
22,Myosorex,Soricidae,Eulipotyphla,Mammalia
23,Congosorex,Soricidae,Eulipotyphla,Mammalia
24,Suncus,Soricidae,Eulipotyphla,Mammalia
25,Sylvisorex,Soricidae,Eulipotyphla,Mammalia
26,Scutisorex,Soricidae,Eulipotyphla,Mammalia
27,Ruwenzorisorex,Soricidae,Eulipotyphla,Mammalia
28,Feroculus,Soricidae,Eulipotyphla,Mammalia
29,Crocidura,Soricidae,Eulipotyphla,Mammalia
30,Diplomesodon,Soricidae,Eulipotyphla,Mammalia
31,Paracrocidura,Soricidae,Eulipotyphla,Mammalia
32,Solisorex,Soricidae,Eulipotyphla,Mammalia
33,Neomys,Soricidae,Eulipotyphla,Mammalia
34,Episoriculus,Soricidae,Eulipotyphla,Mammalia
35,Soriculus,Soricidae,Eulipotyphla,Mammalia
36,Chodsigoa,Soricidae,Eulipotyphla,Mammalia
37,Nectogale,Soricidae,Eulipotyphla,Mammalia
38,Chimarrogale,Soricidae,Eulipotyphla,Mammalia
39,Surdisorex,Soricidae,Eulipotyphla,Mammalia
40,Megasorex,Soricidae,Eulipotyphla,Mammalia
41,Notiosorex,Soricidae,Eulipotyphla,Mammalia
42,Anourosorex,Soricidae,Eulipotyphla,Mammalia
43,Nesophontes,Nesophontidae,Eulipotyphla,Mammalia
44,Cryptotis,Soricidae,Eulipotyphla,Mammalia
45,Blarina,Soricidae,Eulipotyphla,Mammalia
46,Blarinella,Soricidae,Eulipotyphla,Mammalia
47,Sorex,Soricidae,Eulipotyphla,Mammalia
48,Hylomys,Erinaceidae,Eulipotyphla,Mammalia
49,Neotetracus,Erinaceidae,Eulipotyphla,Mammalia
50,Neohylomys,Erinaceidae,Eulipotyphla,Mammalia
51,Podogymnura,Erinaceidae,Eulipotyphla,Mammalia
52,Echinosorex,Erinaceidae,Eulipotyphla,Mammalia
53,Erinaceus,Erinaceidae,Eulipotyphla,Mammalia
54,Paraechinus,Erinaceidae,Eulipotyphla,Mammalia
55,Mesechinus,Erinaceidae,Eulipotyphla,Mammalia
56,Hemiechinus,Erinaceidae,Eulipotyphla,Mammalia
57,Atelerix,Erinaceidae,Eulipotyphla,Mammalia
58,Hippidion,Equidae,Perissodactyla,Mammalia
59,Equus,Equidae,Perissodactyla,Mammalia
60,Tapirus,Tapiridae,Perissodactyla,Mammalia
61,Rhinoceros,Rhinocerotidae,Perissodactyla,Mammalia
62,Dicerorhinus,Rhinocerotidae,Perissodactyla,Mammalia
63,Coelodonta,Rhinocerotidae,Perissodactyla,Mammalia
64,Diceros,Rhinocerotidae,Perissodactyla,Mammalia
65,Ceratotherium,Rhinocerotidae,Perissodactyla,Mammalia
66,Vicugna,Camelidae,Artiodactyla,Mammalia
67,Lama,Camelidae,Artiodactyla,Mammalia
68,Camelus,Camelidae,Artiodactyla,Mammalia
69,Tayassu,Tayassuidae,Artiodactyla,Mammalia
70,Pecari,Tayassuidae,Artiodactyla,Mammalia
71,Catagonus,Tayassuidae,Artiodactyla,Mammalia
72,Potamochoerus,Suidae,Artiodactyla,Mammalia
73,Porcula,Suidae,Artiodactyla,Mammalia
74,Sus,Suidae,Artiodactyla,Mammalia
75,Phacochoerus,Suidae,Artiodactyla,Mammalia
76,Hylochoerus,Suidae,Artiodactyla,Mammalia
77,Babyrousa,Suidae,Artiodactyla,Mammalia
78,Hippopotamus,Hippopotamidae,Artiodactyla,Mammalia
79,Choeropsis,Hippopotamidae,Artiodactyla,Mammalia
