"genus","family","order","class","phylum"
"Stylotrichium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lasiolaena","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Semiria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bishopiella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Agrianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Arrojadocharis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Vittetia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Barrosoa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Catolesia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bahianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Morithamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Acritopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Scherya","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Litothamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Conocliniopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bejaranoa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dasycondylus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Prolobus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gyptis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Stomatanthes","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Austroeupatorium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pseudobrickellia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Heterocondylus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichogonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Platypodanthera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichogoniopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ageratum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Campuloclinium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Urolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Campovassouria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Adenostemma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gymnocoronis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ayapana","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Isocarpha","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chromolaena","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Praxelis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Critonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Steviopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Koanophyllon","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Fleischmannia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Macropodina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Liatris","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Carphephorus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trilisa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Litrisa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hartwrightia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Garberia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eupatorium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eutrochium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Brickelliastrum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Carminatia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Brickellia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Phanerostylis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pleurocoronis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Asanthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Mikania","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Calea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichocoronis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Shinnersia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sclerolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ageratina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Stevia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Carphochaete","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Revealia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hofmeisteria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Piqueria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Perityle","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pericome","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Amauria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eutetras","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Villanova","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Vasquezia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Galeana","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Deinandra","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hemizonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Holocarpha","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Calycadenia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Blepharizonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
