,genus,family,order,class
1,Anelytropsis,Dibamidae,Squamata,Reptilia
2,Dibamus,Dibamidae,Squamata,Reptilia
3,Amalosia,Diplodactylidae,Squamata,Reptilia
4,Diplodactylus,Diplodactylidae,Squamata,Reptilia
5,Lucasium,Diplodactylidae,Squamata,Reptilia
6,Rhynchoedura,Diplodactylidae,Squamata,Reptilia
7,Hesperoedura,Diplodactylidae,Squamata,Reptilia
8,Strophurus,Diplodactylidae,Squamata,Reptilia
9,Oedura,Diplodactylidae,Squamata,Reptilia
10,Nebulifera,Diplodactylidae,Squamata,Reptilia
11,Dactylocnemis,Diplodactylidae,Squamata,Reptilia
12,Mokopirirakau,Diplodactylidae,Squamata,Reptilia
13,Tukutuku,Diplodactylidae,Squamata,Reptilia
14,Naultinus,Diplodactylidae,Squamata,Reptilia
15,Toropuku,Diplodactylidae,Squamata,Reptilia
16,Hoplodactylus,Diplodactylidae,Squamata,Reptilia
17,Woodworthia,Diplodactylidae,Squamata,Reptilia
18,Crenadactylus,Diplodactylidae,Squamata,Reptilia
19,Bavayia,Diplodactylidae,Squamata,Reptilia
20,Eurydactylodes,Diplodactylidae,Squamata,Reptilia
21,Mniarogekko,Diplodactylidae,Squamata,Reptilia
22,Rhacodactylus,Diplodactylidae,Squamata,Reptilia
23,Correlophus,Diplodactylidae,Squamata,Reptilia
24,Dierogekko,Diplodactylidae,Squamata,Reptilia
25,Paniegekko,Diplodactylidae,Squamata,Reptilia
26,Oedodera,Diplodactylidae,Squamata,Reptilia
27,Pseudothecadactylus,Diplodactylidae,Squamata,Reptilia
28,Aprasia,Pygopodidae,Squamata,Reptilia
29,Delma,Pygopodidae,Squamata,Reptilia
30,Lialis,Pygopodidae,Squamata,Reptilia
31,Ophidiocephalus,Pygopodidae,Squamata,Reptilia
32,Pletholax,Pygopodidae,Squamata,Reptilia
33,Paradelma,Pygopodidae,Squamata,Reptilia
34,Pygopus,Pygopodidae,Squamata,Reptilia
35,Carphodactylus,Carphodactylidae,Squamata,Reptilia
36,Nephrurus,Carphodactylidae,Squamata,Reptilia
37,Underwoodisaurus,Carphodactylidae,Squamata,Reptilia
38,Uvidicolus,Carphodactylidae,Squamata,Reptilia
39,Orraya,Carphodactylidae,Squamata,Reptilia
40,Phyllurus,Carphodactylidae,Squamata,Reptilia
41,Saltuarius,Carphodactylidae,Squamata,Reptilia
42,Aeluroscalabotes,Gekkonidae,Squamata,Reptilia
43,Coleonyx,Eublepharidae,Squamata,Reptilia
44,Eublepharis,Eublepharidae,Squamata,Reptilia
45,Hemitheconyx,Eublepharidae,Squamata,Reptilia
46,Holodactylus,Diplodactylidae,Squamata,Reptilia
47,Goniurosaurus,Eublepharidae,Squamata,Reptilia
48,Aristelliger,Sphaerodactylidae,Squamata,Reptilia
49,Quedenfeldtia,Sphaerodactylidae,Squamata,Reptilia
50,Euleptes,Sphaerodactylidae,Squamata,Reptilia
51,Saurodactylus,Sphaerodactylidae,Squamata,Reptilia
52,Pristurus,Sphaerodactylidae,Squamata,Reptilia
53,Chatogekko,Sphaerodactylidae,Squamata,Reptilia
54,Coleodactylus,Sphaerodactylidae,Squamata,Reptilia
55,Pseudogonatodes,Sphaerodactylidae,Squamata,Reptilia
56,Gonatodes,Sphaerodactylidae,Squamata,Reptilia
57,Lepidoblepharis,Sphaerodactylidae,Squamata,Reptilia
58,Sphaerodactylus,Sphaerodactylidae,Squamata,Reptilia
59,Teratoscincus,Sphaerodactylidae,Squamata,Reptilia
60,Asaccus,Phyllodactylidae,Squamata,Reptilia
61,Haemodracon,Phyllodactylidae,Squamata,Reptilia
62,Ptyodactylus,Phyllodactylidae,Squamata,Reptilia
63,Thecadactylus,Phyllodactylidae,Squamata,Reptilia
64,Garthia,Phyllodactylidae,Squamata,Reptilia
65,Homonota,Phyllodactylidae,Squamata,Reptilia
66,Phyllodactylus,Phyllodactylidae,Squamata,Reptilia
67,Gymnodactylus,Gekkonidae,Squamata,Reptilia
68,Phyllopezus,Phyllodactylidae,Squamata,Reptilia
69,Tarentola,Phyllodactylidae,Squamata,Reptilia
70,Cnemaspis,Gekkonidae,Squamata,Reptilia
71,Microgecko,Gekkonidae,Squamata,Reptilia
72,Afroedura,Gekkonidae,Squamata,Reptilia
73,Blaesodactylus,Gekkonidae,Squamata,Reptilia
74,Homopholis,Gekkonidae,Squamata,Reptilia
75,Geckolepis,Gekkonidae,Squamata,Reptilia
76,Chondrodactylus,Gekkonidae,Squamata,Reptilia
77,Colopus,Gekkonidae,Squamata,Reptilia
78,Pachydactylus,Gekkonidae,Squamata,Reptilia
79,Elasmodactylus,Gekkonidae,Squamata,Reptilia
80,Rhoptropus,Gekkonidae,Squamata,Reptilia
81,Goggia,Gekkonidae,Squamata,Reptilia
82,Afrogecko,Gekkonidae,Squamata,Reptilia
83,Christinus,Gekkonidae,Squamata,Reptilia
84,Cryptactites,Gekkonidae,Squamata,Reptilia
85,Ramigekko,Gekkonidae,Squamata,Reptilia
86,Matoatoa,Gekkonidae,Squamata,Reptilia
87,Kolekanos,Gekkonidae,Squamata,Reptilia
88,Paragehyra,Gekkonidae,Squamata,Reptilia
89,Ebenavia,Gekkonidae,Squamata,Reptilia
90,Paroedura,Gekkonidae,Squamata,Reptilia
91,Urocotyledon,Gekkonidae,Squamata,Reptilia
92,Ailuronyx,Gekkonidae,Squamata,Reptilia
93,Calodactylodes,Gekkonidae,Squamata,Reptilia
94,Perochirus,Gekkonidae,Squamata,Reptilia
95,Narudasia,Gekkonidae,Squamata,Reptilia
96,Ptenopus,Gekkonidae,Squamata,Reptilia
97,Uroplatus,Gekkonidae,Squamata,Reptilia
98,Lygodactylus,Gekkonidae,Squamata,Reptilia
99,Rhoptropella,Gekkonidae,Squamata,Reptilia
100,Phelsuma,Gekkonidae,Squamata,Reptilia
101,Dixonius,Gekkonidae,Squamata,Reptilia
102,Heteronotia,Gekkonidae,Squamata,Reptilia
103,Nactus,Gekkonidae,Squamata,Reptilia
104,Gehyra,Gekkonidae,Squamata,Reptilia
105,Hemiphyllodactylus,Gekkonidae,Squamata,Reptilia
106,Gekko,Gekkonidae,Squamata,Reptilia
107,Lepidodactylus,Gekkonidae,Squamata,Reptilia
108,Luperosaurus,Gekkonidae,Squamata,Reptilia
109,Ptychozoon,Gekkonidae,Squamata,Reptilia
110,Pseudogekko,Gekkonidae,Squamata,Reptilia
111,Agamura,Gekkonidae,Squamata,Reptilia
112,Bunopus,Gekkonidae,Squamata,Reptilia
113,Crossobamon,Gekkonidae,Squamata,Reptilia
114,Cyrtopodion,Gekkonidae,Squamata,Reptilia
115,Tenuidactylus,Gekkonidae,Squamata,Reptilia
116,Rhinogecko,Gekkonidae,Squamata,Reptilia
117,Altiphylax,Gekkonidae,Squamata,Reptilia
118,Mediodactylus,Gekkonidae,Squamata,Reptilia
119,Pseudoceramodactylus,Gekkonidae,Squamata,Reptilia
120,Tropiocolotes,Gekkonidae,Squamata,Reptilia
121,Stenodactylus,Gekkonidae,Squamata,Reptilia
122,Cyrtodactylus,Gekkonidae,Squamata,Reptilia
123,Hemidactylus,Gekkonidae,Squamata,Reptilia
124,Alsophylax,Gekkonidae,Squamata,Reptilia
125,Acontias,Scincidae,Squamata,Reptilia
126,Typhlosaurus,Scincidae,Squamata,Reptilia
127,Brachymeles,Scincidae,Squamata,Reptilia
128,Melanoseps,Scincidae,Squamata,Reptilia
129,Feylinia,Scincidae,Squamata,Reptilia
130,Typhlacontias,Scincidae,Squamata,Reptilia
131,Sepsina,Scincidae,Squamata,Reptilia
132,Gongylomorphus,Scincidae,Squamata,Reptilia
133,Chabanaudia,Scincidae,Squamata,Reptilia
134,Amphiglossus,Scincidae,Squamata,Reptilia
135,Voeltzkowia,Scincidae,Squamata,Reptilia
136,Androngo,Scincidae,Squamata,Reptilia
137,Pygomeles,Scincidae,Squamata,Reptilia
138,Madascincus,Scincidae,Squamata,Reptilia
139,Paracontias,Scincidae,Squamata,Reptilia
140,Pseudoacontias,Scincidae,Squamata,Reptilia
141,Sirenoscincus,Scincidae,Squamata,Reptilia
142,Chalcides,Scincidae,Squamata,Reptilia
143,Janetaescincus,Scincidae,Squamata,Reptilia
144,Pamelaescincus,Scincidae,Squamata,Reptilia
145,Chalcidoseps,Scincidae,Squamata,Reptilia
146,Nessia,Scincidae,Squamata,Reptilia
147,Hakaria,Scincidae,Squamata,Reptilia
148,Proscelotes,Scincidae,Squamata,Reptilia
149,Scelotes,Scincidae,Squamata,Reptilia
150,Scolecoseps,Scincidae,Squamata,Reptilia
151,Jarujinia,Scincidae,Squamata,Reptilia
152,Barkudia,Scincidae,Squamata,Reptilia
153,Sepsophis,Scincidae,Squamata,Reptilia
154,Eumeces,Scincidae,Squamata,Reptilia
155,Scincopus,Scincidae,Squamata,Reptilia
156,Scincus,Scincidae,Squamata,Reptilia
157,Eurylepis,Scincidae,Squamata,Reptilia
158,Mesoscincus,Scincidae,Squamata,Reptilia
159,Ophiomorus,Scincidae,Squamata,Reptilia
160,Plestiodon,Scincidae,Squamata,Reptilia
161,Otosaurus,Scincidae,Squamata,Reptilia
162,Parvoscincus,Scincidae,Squamata,Reptilia
163,Sphenomorphus,Scincidae,Squamata,Reptilia
164,Pinoyscincus,Scincidae,Squamata,Reptilia
165,Insulasaurus,Scincidae,Squamata,Reptilia
166,Lipinia,Scincidae,Squamata,Reptilia
167,Papuascincus,Scincidae,Squamata,Reptilia
168,Prasinohaema,Scincidae,Squamata,Reptilia
169,Scincella,Scincidae,Squamata,Reptilia
170,Fojia,Scincidae,Squamata,Reptilia
171,Anomalopus,Scincidae,Squamata,Reptilia
172,Calyptotis,Scincidae,Squamata,Reptilia
173,Concinnia,Scincidae,Squamata,Reptilia
174,Coeranoscincus,Scincidae,Squamata,Reptilia
175,Ophioscincus,Scincidae,Squamata,Reptilia
176,Coggeria,Scincidae,Squamata,Reptilia
177,Saiphos,Scincidae,Squamata,Reptilia
178,Silvascincus,Scincidae,Squamata,Reptilia
179,Tumbunascincus,Scincidae,Squamata,Reptilia
180,Nangura,Scincidae,Squamata,Reptilia
181,Eulamprus,Scincidae,Squamata,Reptilia
182,Glaphyromorphus,Scincidae,Squamata,Reptilia
183,Hemiergis,Scincidae,Squamata,Reptilia
184,Eremiascincus,Scincidae,Squamata,Reptilia
185,Ctenotus,Scincidae,Squamata,Reptilia
186,Lerista,Scincidae,Squamata,Reptilia
187,Notoscincus,Scincidae,Squamata,Reptilia
188,Leptoseps,Scincidae,Squamata,Reptilia
189,Larutia,Scincidae,Squamata,Reptilia
190,Isopachys,Scincidae,Squamata,Reptilia
191,Tytthoscincus,Scincidae,Squamata,Reptilia
192,Tropidophorus,Scincidae,Squamata,Reptilia
193,Ateuchosaurus,Scincidae,Squamata,Reptilia
194,Kaestlea,Scincidae,Squamata,Reptilia
195,Carlia,Scincidae,Squamata,Reptilia
196,Lygisaurus,Scincidae,Squamata,Reptilia
197,Pygmaeascincus,Scincidae,Squamata,Reptilia
198,Liburnascincus,Scincidae,Squamata,Reptilia
199,Harrisoniascincus,Scincidae,Squamata,Reptilia
200,Niveoscincus,Scincidae,Squamata,Reptilia
201,Lampropholis,Scincidae,Squamata,Reptilia
202,Morethia,Scincidae,Squamata,Reptilia
203,Saproscincus,Scincidae,Squamata,Reptilia
204,Techmarscincus,Scincidae,Squamata,Reptilia
205,Eroticoscincus,Scincidae,Squamata,Reptilia
206,Cryptoblepharus,Scincidae,Squamata,Reptilia
207,Emoia,Scincidae,Squamata,Reptilia
208,Menetia,Scincidae,Squamata,Reptilia
209,Oligosoma,Scincidae,Squamata,Reptilia
210,Leiolopisma,Scincidae,Squamata,Reptilia
211,Bassiana,Scincidae,Squamata,Reptilia
212,Pseudemoia,Scincidae,Squamata,Reptilia
213,Proablepharus,Scincidae,Squamata,Reptilia
214,Lobulia,Scincidae,Squamata,Reptilia
215,Lioscincus,Scincidae,Squamata,Reptilia
216,Nannoscincus,Scincidae,Squamata,Reptilia
217,Caledoniscincus,Scincidae,Squamata,Reptilia
218,Graciliscincus,Scincidae,Squamata,Reptilia
219,Simiscincus,Scincidae,Squamata,Reptilia
220,Tropidoscincus,Scincidae,Squamata,Reptilia
221,Sigaloseps,Scincidae,Squamata,Reptilia
222,Afroablepharus,Scincidae,Squamata,Reptilia
223,Panaspis,Scincidae,Squamata,Reptilia
224,Geoscincus,Scincidae,Squamata,Reptilia
225,Geomyersia,Scincidae,Squamata,Reptilia
226,Anepischetosia,Scincidae,Squamata,Reptilia
227,Tachygyia,Scincidae,Squamata,Reptilia
228,Cophoscincopus,Scincidae,Squamata,Reptilia
229,Celatiscincus,Scincidae,Squamata,Reptilia
230,Marmorosphax,Scincidae,Squamata,Reptilia
231,Kanakysaurus,Scincidae,Squamata,Reptilia
232,Lacertoides,Scincidae,Squamata,Reptilia
233,Phoboscincus,Scincidae,Squamata,Reptilia
234,Lacertaspis,Scincidae,Squamata,Reptilia
235,Leptosiaphos,Scincidae,Squamata,Reptilia
236,Eugongylus,Scincidae,Squamata,Reptilia
237,Ablepharus,Scincidae,Squamata,Reptilia
238,Asymblepharus,Scincidae,Squamata,Reptilia
239,Haackgreerius,Scincidae,Squamata,Reptilia
240,Lamprolepis,Scincidae,Squamata,Reptilia
241,Lygosoma,Scincidae,Squamata,Reptilia
242,Lepidothyris,Scincidae,Squamata,Reptilia
243,Mochlus,Scincidae,Squamata,Reptilia
244,Alinea,Scincidae,Squamata,Reptilia
245,Marisora,Scincidae,Squamata,Reptilia
246,Maracaiba,Scincidae,Squamata,Reptilia
247,Orosaura,Scincidae,Squamata,Reptilia
248,Mabuya,Scincidae,Squamata,Reptilia
249,Varzea,Scincidae,Squamata,Reptilia
250,Aspronema,Scincidae,Squamata,Reptilia
251,Brasiliscincus,Scincidae,Squamata,Reptilia
252,Psychosaura,Scincidae,Squamata,Reptilia
253,Spondylurus,Scincidae,Squamata,Reptilia
254,Copeoglossum,Scincidae,Squamata,Reptilia
255,Exila,Scincidae,Squamata,Reptilia
256,Notomabuya,Scincidae,Squamata,Reptilia
257,Manciola,Scincidae,Squamata,Reptilia
258,Panopa,Scincidae,Squamata,Reptilia
259,Vietnascincus,Scincidae,Squamata,Reptilia
260,Trachylepis,Scincidae,Squamata,Reptilia
261,Chioninia,Scincidae,Squamata,Reptilia
262,Eumecia,Scincidae,Squamata,Reptilia
263,Capitellum,Scincidae,Squamata,Reptilia
264,Eutropis,Scincidae,Squamata,Reptilia
265,Dasia,Scincidae,Squamata,Reptilia
266,Lankascincus,Scincidae,Squamata,Reptilia
267,Ristella,Scincidae,Squamata,Reptilia
268,Bellatorias,Scincidae,Squamata,Reptilia
269,Tiliqua,Scincidae,Squamata,Reptilia
270,Cyclodomorphus,Scincidae,Squamata,Reptilia
271,Hemisphaeriodon,Scincidae,Squamata,Reptilia
272,Egernia,Scincidae,Squamata,Reptilia
273,Lissolepis,Scincidae,Squamata,Reptilia
274,Liopholis,Scincidae,Squamata,Reptilia
275,Corucia,Scincidae,Squamata,Reptilia
276,Tribolonotus,Scincidae,Squamata,Reptilia
277,Chamaesaura,Cordylidae,Squamata,Reptilia
278,Pseudocordylus,Cordylidae,Squamata,Reptilia
279,Karusasaurus,Cordylidae,Squamata,Reptilia
280,Namazonurus,Cordylidae,Squamata,Reptilia
281,Cordylus,Cordylidae,Squamata,Reptilia
282,Hemicordylus,Cordylidae,Squamata,Reptilia
283,Ouroborus,Cordylidae,Squamata,Reptilia
284,Ninurta,Cordylidae,Squamata,Reptilia
285,Smaug,Cordylidae,Squamata,Reptilia
286,Platysaurus,Cordylidae,Squamata,Reptilia
287,Tracheloptychus,Gerrhosauridae,Squamata,Reptilia
288,Zonosaurus,Gerrhosauridae,Squamata,Reptilia
289,Broadleysaurus,Gerrhosauridae,Squamata,Reptilia
290,Cordylosaurus,Gerrhosauridae,Squamata,Reptilia
291,Tetradactylus,Gerrhosauridae,Squamata,Reptilia
292,Gerrhosaurus,Gerrhosauridae,Squamata,Reptilia
293,Matobosaurus,Gerrhosauridae,Squamata,Reptilia
294,Cricosaura,Xantusiidae,Squamata,Reptilia
295,Lepidophyma,Xantusiidae,Squamata,Reptilia
296,Xantusia,Xantusiidae,Squamata,Reptilia
297,Ameiva,Teiidae,Squamata,Reptilia
298,Ameivula,Teiidae,Squamata,Reptilia
299,Contomastix,Teiidae,Squamata,Reptilia
300,Cnemidophorus,Teiidae,Squamata,Reptilia
301,Kentropyx,Teiidae,Squamata,Reptilia
302,Aspidoscelis,Teiidae,Squamata,Reptilia
303,Medopheos,Teiidae,Squamata,Reptilia
304,Aurivela,Teiidae,Squamata,Reptilia
305,Holcosus,Teiidae,Squamata,Reptilia
306,Teius,Teiidae,Squamata,Reptilia
307,Dicrodon,Teiidae,Squamata,Reptilia
308,Callopistes,Teiidae,Squamata,Reptilia
309,Crocodilurus,Teiidae,Squamata,Reptilia
310,Dracaena,Teiidae,Squamata,Reptilia
311,Tupinambis,Teiidae,Squamata,Reptilia
312,Salvator,Teiidae,Squamata,Reptilia
313,Alopoglossus,Gymnophthalmidae,Squamata,Reptilia
314,Ptychoglossus,Gymnophthalmidae,Squamata,Reptilia
315,Riolama,Gymnophthalmidae,Squamata,Reptilia
316,Acratosaura,Gymnophthalmidae,Squamata,Reptilia
317,Stenolepis,Gymnophthalmidae,Squamata,Reptilia
